hex,x,y
2,665,156
49,668,235
47,599,277
38,738,276
42,598,358
32,740,357
46,527,399
37,666,399
27,810,399
41,527,479
31,667,479
22,807,483
45,461,520
36,595,520
26,737,521
18,880,525
40,463,599
30,595,600
21,737,602
14,879,605
44,399,636
35,528,639
25,663,645
17,807,646
11,949,649
39,403,711
29,532,718
20,665,723
13,804,725
8,944,727
43,344,746
34,467,753
24,598,760
16,733,764
10,872,766
6,1013,767
48,349,818
28,471,827
19,599,836
12,733,842
7,871,842
4,1006,843
3,291,852
33,411,859
23,534,868
15,666,875
9,801,878
5,937,879
1,1072,881
