hex_a,hex_b
1,4
4,1
4,5
4,6
6,4
6,8
5,4
5,7
8,6
8,11
8,10
7,5
7,10
7,9
11,8
11,14
10,8
10,7
10,13
9,7
9,12
14,11
14,18
14,17
13,10
13,17
13,16
12,9
12,16
12,15
18,14
18,22
17,14
17,13
17,21
16,13
16,12
16,20
15,12
15,19
22,18
22,27
22,26
21,17
21,26
21,25
20,16
20,25
20,24
19,15
19,24
19,23
27,22
27,32
26,22
26,21
26,31
25,21
25,20
25,30
24,20
24,19
24,29
23,19
23,28
32,27
32,38
32,37
31,26
31,37
31,36
30,25
30,36
30,35
29,24
29,35
29,34
28,23
28,34
28,33
38,32
38,49
37,31
37,32
37,42
36,30
36,31
36,41
35,29
35,30
35,40
34,28
34,29
34,39
33,28
33,48
49,2
49,38
49,47
42,37
42,46
42,47
41,36
41,45
41,46
40,35
40,44
40,45
39,34
39,43
39,44
48,3
48,33
48,43
2,49
47,49
47,42
46,42
46,41
45,41
45,40
44,40
44,39
43,39
43,48
3,48
